"Are you sure you want to remove all logs?","Are you sure you want to remove all logs?"
"Remove all logs","Remove all logs"
"Preparing Box IDENT","Preparing Box IDENT"
"Preparing Box Customs Dec","Preparing Box Customs Dec"
"Create Pickup","Create Pickup"
"Pickup IDENT","Pickup IDENT"
"Pickup Parcels Labels","Pickup Parcels Labels"
"Pickup Receipt","Pickup Receipt"
"Pickup Consign PODs","Pickup Consign PODs"
"Pickup Consign Customs Dec","Pickup Consign Customs Dec"
"The version of the module is up to date.","The version of the module is up to date."
"Updates are available, check what you get by updating the plugin:","Updates are available, check what you get by updating the plugin:"
"Change log.","Change log."
"No information about the module version.","No information about the module version."
"one label per A4, top left corner","one label per A4, top left corner"
"four labels on A4, first label printed from the left","four labels on A4, first label printed from the left"
"roll, PDF file (horizontal)","roll, PDF file (horizontal)"
"roll, PDF file (vertical)","roll, PDF file (vertical)"
"roll, DPL language file","roll, DPL language file"
"roll, ZPL language file","roll, ZPL language file"
"roll, ZPL language file, 300dpi resolution","roll, ZPL language file, 300dpi resolution"
"roll, EPL language file","roll, EPL language file"
"Production mode","Production mode"
"Sandbox mode","Sandbox mode"
"Please fill in the required fields (GLS API Username and Password).","Please fill in the required fields (GLS API Username and Password)."
"API Connection Successful.","API Connection Successful."
"API Connection Failed.","API Connection Failed."
"All logs have been deleted.","All logs have been deleted."
"Something went wrong on delete all logs.","Something went wrong on delete all logs."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong on delete logs.","Something went wrong on delete logs."
"GLS Logs","GLS Logs"
"Shipping labels is not available.","Shipping labels is not available."
"Preparing Box ID is empty.","Preparing Box ID is empty."
"Shipping Confirmation ID is empty.","Shipping Confirmation ID is empty."
"Pickup Labels are empty.","Pickup Labels are empty."
"Consigns IDs Array is empty.","Consigns IDs Array is empty."
"An error occurred while creating Preparing Box. %1","An error occurred while creating Preparing Box. %1"
"We don\'t recognize or support the file extension in this shipment: %1.","We don\'t recognize or support the file extension in this shipment: %1."
"An error occurred while creating shipping label. Message: %1","An error occurred while creating shipping label. Message: %1"
"No packages for request","No packages for request"
"Error on add Preparing box to GLS.","Error on add Preparing box to GLS."
"Error on add Preparing box to GLS, result has no Labels.","Error on add Preparing box to GLS, result has no Labels."
"Order object is not available in the request.","Order object is not available in the request."
"Something went wrong on add logs.","Something went wrong on add logs."
"Response Preparing Box Id is not exist.","Response Preparing Box Id is not exist."
"Response Preparing Box Shipping Label Content is not exist.","Response Preparing Box Shipping Label Content is not exist."
"The user does not have the appropriate permissions to execute the specified method.","The user does not have the appropriate permissions to execute the specified method."
"Delete","Delete"
"Delete Log","Delete Log"
"Are you sure you want to delete this log?","Are you sure you want to delete this log?"
"Add SRS Service","Add SRS Service"
"SRS service not provided in the country.","SRS service not provided in the country."
"GLS Poland Preparing Box ID:","GLS Poland Preparing Box ID:"
"GLS Poland Shipping Confirmation ID:","GLS Poland Shipping Confirmation ID:"
"Check API Connection","Check API Connection"
"GLS shipping module","GLS shipping module"
"from GLS Poland","from GLS Poland"
"Notify of new module versions","Notify of new module versions"
"Need help with configuration?","Need help with configuration?"
"Read the","Read the"
"user manual","user manual"
", to configure the module properly.",", to configure the module properly."
"The minimum possible value is 0.1","The minimum possible value is 0.1"
"GLS Poland Shipping","GLS Poland Shipping"
"Enable","Enable"
"Active mode","Active mode"
"After entering the data, make sure that the environment is active.","After entering the data, make sure that the environment is active."
"Enable logger","Enable logger"
"Advanced user settings.","Advanced user settings."
"Production API Settings","Production API Settings"
"User Name (Prod)","User Name (Prod)"
"Password (Prod)","Password (Prod)"
"Sandbox API Settings","Sandbox API Settings"
"User Name (Sandbox)","User Name (Sandbox)"
"Password (Sandbox)","Password (Sandbox)"
"Default Labels Setting","Default Labels Setting"
"Label format","Label format"
"Change Order Status After Label Printing","Change Order Status After Label Printing"
"New order status","New order status"
"Use Alternative Sender Address","Use Alternative Sender Address"
"Contact your GLS representative to change your sender address settings, you need additional permissions to use alternative address.","Contact your GLS representative to change your sender address settings, you need additional permissions to use alternative address."
"First Name","First Name"
"Last name","Last name"
"Company","Company"
"Street Address","Street Address"
"Country","Country"
"Zip/Postal Code","Zip/Postal Code"
"Zipcode (ISO 3166-1 alfa-2)","Zipcode (ISO 3166-1 alfa-2)"
"Phone number","Phone number"
"City","City"
"GLS - Courier","GLS - Courier"
"GLS - Standard delivery (without services)","GLS - Standard delivery (without services)"
"GLS - Express delivery 10:00 a.m.","GLS - Express delivery 10:00 a.m."
"GLS - Express delivery 12:00 a.m.","GLS - Express delivery 12:00 a.m."
"GLS - Saturday delivery","GLS - Saturday delivery"
"GLS - Staturday express delivery 10:00 a.m.","GLS - Staturday express delivery 10:00 a.m."
"GLS - Staturday express delivery 12:00 a.m.","GLS - Staturday express delivery 12:00 a.m."
"GLS pickup point","GLS pickup point"
"COD Payment Method Applicable","COD Payment Method Applicable"
"Method Name","Method Name"
"Method Title","Method Title"
"Price","Price"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Position","Position"
"Default Parcel Weight","Default Parcel Weight"
"Default Reference","Default Reference"
"Default Comment","Default Comment"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Please contact GLS to verify service availability in other countries.","Please contact GLS to verify service availability in other countries."
"Ship to specific Countries","Ship to specific Countries"
"Please enter less or equal than {0} symbols.","Please enter less or equal than {0} symbols."
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols."
"The minimum possible value is 0.1.","The minimum possible value is 0.1."
"The minimum possible value is 1.","The minimum possible value is 1."
"Order GLS Courier","Order GLS Courier"
"Parcel pickup details","Parcel pickup details"
"Attention! Only one order can be placed within one company for the given pickup date. Parcels may be collected on the next business day at the earliest!","Attention! Only one order can be placed within one company for the given pickup date. Parcels may be collected on the next business day at the earliest!"
"Parcels count","Parcels count"
"Date of receipt","Date of receipt"
"Send email confirmation","Send email confirmation"
"Yes","Yes"
"No","No"
"Send Courier Order","Send Courier Order"
"GLS Poland Courier order has been sent","GLS Poland Courier order has been sent"
"Error sending GLS Poland Courier order, please complete the required fields!","Error sending GLS Poland Courier order, please complete the required fields!"
"Unexpected API response: Result is not bool","Unexpected API response: Result is not bool"
"Error sending GLS Poland Courier order!","Error sending GLS Poland Courier order!"
"Result message: %1","Result message: %1"
"Order Courier","Order Courier"
"Enabled","Enabled"
"Disable","Disable"
"-- Please Select --","-- Please Select --"
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"Choose point","Choose point"
"Choose the collection point","Choose the collection point"
"err_cons_srv_sds_receiver_phone_is_invalid","Receiver phone number is invalid. Please enter a valid number."
"Unexpected API response: Result is not int.","Unexpected API response: Result is not int."
"Default Labels Settings","Default Labels Settings"
"Enable for RMA (SRS)","Enable for RMA (SRS)"
"RMA price (SRS)","RMA price (SRS)"
"Used shipping method does not have SRS Service.","Used shipping method does not have SRS Service."
"Tracking Numbers are empty.","Tracking Numbers are empty."
